# 门类 / 材质 / 媒材
#
# key        —— 原文，去重键，须与源 Excel 逐字一致，不要改
# zh / en    —— 两个语种的文本；原文那一侧已填好，另一侧待译
# confidence —— 官方 / AI / 存疑，只描述「译出来的那一半」
#                官方 = 通行的既定译名（Louvre = 卢浮宫）
#                AI   = 机器翻译，正常可用
#                存疑 = 拿不准，优先人工复核（grep 存疑 即可捞出）
#
# 本文件由 make_translation_skeleton.py 生成与增量更新，可直接手工编辑。
kind,key,zh,en,confidence
artwork_medium,Alabaster,雪花石膏,Alabaster,AI
artwork_medium,Albumen Photograph,蛋白照片,Albumen Photograph,AI
artwork_medium,Armor / Metal,甲胄／金属,Armor / Metal,AI
artwork_medium,Armor Mixed‑Media,甲胄（综合材质）,Armor Mixed‑Media,AI
artwork_medium,Art Glass,艺术玻璃,Art Glass,AI
artwork_medium,Art‑Glass,艺术玻璃,Art‑Glass,AI
artwork_medium,Bamboo Craft,竹工艺,Bamboo Craft,AI
artwork_medium,Bamboo‑Paper Fan,竹骨纸扇,Bamboo‑Paper Fan,AI
artwork_medium,Black Stone Sculpture,黑石雕刻,Black Stone Sculpture,AI
artwork_medium,Brass Artifact,黄铜器,Brass Artifact,AI
artwork_medium,Brass Inlaid Metalwork,黄铜错嵌金工,Brass Inlaid Metalwork,AI
artwork_medium,Brass Metal,黄铜,Brass Metal,AI
artwork_medium,Brass Metalwork,黄铜金工,Brass Metalwork,AI
artwork_medium,Brass with Silver Inlay,黄铜错银,Brass with Silver Inlay,AI
artwork_medium,Brass‑Enamel,铜胎珐琅,Brass‑Enamel,AI
artwork_medium,Brass‑Glass Scientific Instrument,铜玻璃科学仪器,Brass‑Glass Scientific Instrument,AI
artwork_medium,Brass‑Iron Metalwork,铜铁金工,Brass‑Iron Metalwork,AI
artwork_medium,Bronze,青铜,Bronze,AI
artwork_medium,Bronze Metalwork,青铜金工,Bronze Metalwork,AI
artwork_medium,Bronze Sculpture,青铜雕塑,Bronze Sculpture,AI
artwork_medium,Bronze with Gold Inlay,青铜错金,Bronze with Gold Inlay,AI
artwork_medium,Carved Ivory,象牙雕,Carved Ivory,AI
artwork_medium,Carved Wood,木雕,Carved Wood,AI
artwork_medium,Carved Wood Container,木雕容器,Carved Wood Container,AI
artwork_medium,Carved Wood Folk Object,木雕民俗器物,Carved Wood Folk Object,AI
artwork_medium,Carved Wood Fragment,木雕残件,Carved Wood Fragment,AI
artwork_medium,Carved Wood Sculpture,木雕造像,Carved Wood Sculpture,AI
artwork_medium,Carved Wood Vessel,木雕器皿,Carved Wood Vessel,AI
artwork_medium,Carved Wood Weapon,木雕兵器,Carved Wood Weapon,AI
artwork_medium,Cast Brass,铸黄铜,Cast Brass,AI
artwork_medium,Cast Iron,铸铁,Cast Iron,AI
artwork_medium,Ceramic,陶瓷,Ceramic,AI
artwork_medium,Charcoal,炭笔,Charcoal,AI
artwork_medium,Charcoal on Paper,纸本炭笔,Charcoal on Paper,AI
artwork_medium,Embroidery Textile,刺绣织物,Embroidery Textile,AI
artwork_medium,Engraved Brass Scientific Instrument,刻纹黄铜科学仪器,Engraved Brass Scientific Instrument,AI
artwork_medium,Engraved Walrus Ivory,海象牙刻,Engraved Walrus Ivory,AI
artwork_medium,Engraved Whale Tooth,鲸齿刻,Engraved Whale Tooth,AI
artwork_medium,Engraved Whalebone,鲸骨刻,Engraved Whalebone,AI
artwork_medium,Etching,蚀刻版画,Etching,AI
artwork_medium,Etching on Paper,纸本蚀刻版画,Etching on Paper,AI
artwork_medium,Faience,费昂斯釉陶,Faience,AI
artwork_medium,Feather‑Textile Fragment,羽毛织物残片,Feather‑Textile Fragment,AI
artwork_medium,Glass,玻璃,Glass,AI
artwork_medium,Glass Vessel,玻璃器皿,Glass Vessel,AI
artwork_medium,Glazed Ceramic,釉陶,Glazed Ceramic,AI
artwork_medium,Glazed Ceramic Tile,釉面陶砖,Glazed Ceramic Tile,AI
artwork_medium,Glazed Pottery,釉陶器,Glazed Pottery,AI
artwork_medium,Gold Metal,金,Gold Metal,AI
artwork_medium,Gouache on Board,板上水粉,Gouache on Board,AI
artwork_medium,Gouache on Paper,纸本水粉,Gouache on Paper,AI
artwork_medium,Granite Sculpture,花岗岩雕刻,Granite Sculpture,AI
